City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Cham,Canton of Zug,Switzerland,"Cham, Switzerland",14,4/26/15 7:05
Cookstown,Northern Ireland,United Kingdom,"Cookstown, United Kingdom",13,4/26/15 7:05
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 7:05
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/26/15 7:05
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:05
Nuremberg,Bavaria,Germany,"Nuremberg, Germany",0,4/26/15 7:05
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:05
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:06
Johor Bahru,Johor,Malaysia,"Johor Bahru, Malaysia",0,4/26/15 7:06
Kochi,Kerala,India,"Kochi, India",1,4/26/15 7:06
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 7:06
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:06
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:06
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:06
Padang,West Sumatra,Indonesia,"Padang, Indonesia",1,4/26/15 7:06
Twickenham,England,United Kingdom,"Twickenham, United Kingdom",3,4/26/15 7:06
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 7:08
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:08
Weinstadt,Baden-Wurttemberg,Germany,"Weinstadt, Germany",33,4/26/15 7:08
Chickerell,England,United Kingdom,"Chickerell, United Kingdom",17,4/26/15 7:09
Clayton-le-Woods,England,United Kingdom,"Clayton-le-Woods, United Kingdom",2,4/26/15 7:09
Davis,California,United States,"Davis, United States",4,4/26/15 7:09
Dresden,Saxony,Germany,"Dresden, Germany",0,4/26/15 7:09
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:09
Semenyih,Selangor,Malaysia,"Semenyih, Malaysia",8,4/26/15 7:09
Stockholm,Stockholm County,Sweden,"Stockholm, Sweden",0,4/26/15 7:09
Yangon,Yangon Region,Myanma,"Yangon, Myanma",0,4/26/15 7:09
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/26/15 7:10
Berkeley,California,United States,"Berkeley, United States",2,4/26/15 7:10
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 7:10
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 7:10
Egmont Village,Taranaki,New Zealand,"Egmont Village, New Zealand",3,4/26/15 7:10
Lahore,Punjab,Pakistan,"Lahore, Pakistan",0,4/26/15 7:10
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:10
North Thoresby,England,United Kingdom,"North Thoresby, United Kingdom",10,4/26/15 7:10
Blaricum,North Holland,Netherlands,"Blaricum, Netherlands",1,4/26/15 7:11
Bathford,England,United Kingdom,"Bathford, United Kingdom",2,4/26/15 7:11
Cheb,Karlovy Vary Region,Czech Republic,"Cheb, Czech Republic",33,4/26/15 7:11
Goma,North-Kivu,Democratic Republic of the Congo,"Goma, Democratic Republic of the Congo",33,4/26/15 7:11
Norwich,England,United Kingdom,"Norwich, United Kingdom",1,4/26/15 7:11
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/26/15 7:11
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:11
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/26/15 7:11
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/26/15 7:12
Gold Coast,Queensland,Australia,"Gold Coast, Australia",1,4/26/15 7:12
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:12
Purau,Canterbury,New Zealand,"Purau, New Zealand",1,4/26/15 7:12
Asan-si,Chungcheongnam-do,South Korea,"Asan-si, South Korea",11,4/26/15 7:14
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 7:14
Clayton-le-Woods,England,United Kingdom,"Clayton-le-Woods, United Kingdom",1,4/26/15 7:14
Darmstadt,Hesse,Germany,"Darmstadt, Germany",1,4/26/15 7:14
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 7:14
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/26/15 7:14
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 7:14
New York,New York,United States,"New York, United States",0,4/26/15 7:14
Saint Petersburg,Saint Petersburg,Russia,"Saint Petersburg, Russia",0,4/26/15 7:14
Wellington,Wellington,New Zealand,"Wellington, New Zealand",0,4/26/15 7:14
Wichtrach,Canton of Bern,Switzerland,"Wichtrach, Switzerland",33,4/26/15 7:14
Zurich,Canton of Zurich,Switzerland,"Zurich, Switzerland",0,4/26/15 7:14
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 7:16
Istanbul,Istanbul Province,Turkey,"Istanbul, Turkey",0,4/26/15 7:16
Riyadh,Riyadh Province,Saudi Arabia,"Riyadh, Saudi Arabia",0,4/26/15 7:16
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:16
Turlock,California,United States,"Turlock, United States",6,4/26/15 7:16
Akaa,Pirkanmaa,Finland,"Akaa, Finland",17,4/26/15 7:17
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 7:17
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 7:19
Gothenburg,Visstra Gotaland County,Sweden,"Gothenburg, Sweden",0,4/26/15 7:19
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",2,4/26/15 7:19
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/26/15 7:19
Woodley,England,United Kingdom,"Woodley, United Kingdom",7,4/26/15 7:19
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/26/15 7:20
Edmonton,Alberta,Canada,"Edmonton, Canada",1,4/26/15 7:20
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:20
Lucknow,Uttar Pradesh,India,"Lucknow, India",0,4/26/15 7:21
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 7:21
Oxford,England,United Kingdom,"Oxford, United Kingdom",2,4/26/15 7:21
Pokhara,Western Region,Nepal,"Pokhara, Nepal",3,4/26/15 7:21
Portland,Oregon,United States,"Portland, United States",0,4/26/15 7:21
Tel Aviv,Tel Aviv District,Israel,"Tel Aviv, Israel",0,4/26/15 7:21
Udon Thani,Udon Thani,Thailand,"Udon Thani, Thailand",1,4/26/15 7:21
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 7:22
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:22
Christchurch,Canterbury,New Zealand,"Christchurch, New Zealand",0,4/26/15 7:22
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/26/15 7:22
Nonthaburi,Nonthaburi,Thailand,"Nonthaburi, Thailand",1,4/26/15 7:22
Ophemert,Gelderland,Netherlands,"Ophemert, Netherlands",50,4/26/15 7:22
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/26/15 7:23
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 7:23
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 7:23
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:23
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 7:24
Chamonix,Rhone-Alpes,France,"Chamonix, France",3,4/26/15 7:24
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 7:24
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:24
Truckee,California,United States,"Truckee, United States",100,4/26/15 7:24
Warrington,England,United Kingdom,"Warrington, United Kingdom",2,4/26/15 7:24
Heldenstein,Bavaria,Germany,"Heldenstein, Germany",14,4/26/15 7:25
Hinckley,England,United Kingdom,"Hinckley, United Kingdom",1,4/26/15 7:25
Horw,Lucerne,Switzerland,"Horw, Switzerland",4,4/26/15 7:25
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:25
Oslo,Oslo,Norway,"Oslo, Norway",0,4/26/15 7:25
Toulouse,Midi-Pyrenees,France,"Toulouse, France",0,4/26/15 7:25
Christchurch,Canterbury,New Zealand,"Christchurch, New Zealand",1,4/26/15 7:28
Felton,California,United States,"Felton, United States",4,4/26/15 7:28
Frankfurt,Hesse,Germany,"Frankfurt, Germany",0,4/26/15 7:28
Gateshead,England,United Kingdom,"Gateshead, United Kingdom",2,4/26/15 7:28
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:28
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:28
Oldham,England,United Kingdom,"Oldham, United Kingdom",8,4/26/15 7:28
Riverside,California,United States,"Riverside, United States",2,4/26/15 7:28
Al Ain,Abu Dhabi,United Arab Emirates,"Al Ain, United Arab Emirates",1,4/26/15 7:29
Bellevue,Washington,United States,"Bellevue, United States",3,4/26/15 7:29
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 7:29
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:29
Minato,Tokyo,Japan,"Minato, Japan",0,4/26/15 7:29
Palma de Mallorca,Balearic Islands,Spain,"Palma de Mallorca, Spain",1,4/26/15 7:29
Pittsburgh,Pennsylvania,United States,"Pittsburgh, United States",2,4/26/15 7:29
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 7:30
Reading,England,United Kingdom,"Reading, United Kingdom",1,4/26/15 7:30
Saint Stephen,England,United Kingdom,"Saint Stephen, United Kingdom",100,4/26/15 7:30
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 7:32
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/26/15 7:32
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:32
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:32
Minato,Tokyo,Japan,"Minato, Japan",0,4/26/15 7:32
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 7:32
Oberhausen,North Rhine-Westphalia,Germany,"Oberhausen, Germany",2,4/26/15 7:32
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 7:32
Swindon,England,United Kingdom,"Swindon, United Kingdom",1,4/26/15 7:32
Wick,England,United Kingdom,"Wick, United Kingdom",2,4/26/15 7:32
Zurich,Canton of Zurich,Switzerland,"Zurich, Switzerland",0,4/26/15 7:32
Bremen,Bremen,Germany,"Bremen, Germany",0,4/26/15 7:33
Chandigarh,Chandigarh,India,"Chandigarh, India",0,4/26/15 7:33
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 7:33
Pleasanton,California,United States,"Pleasanton, United States",4,4/26/15 7:33
Tommerup,DK-83,Denmark,"Tommerup, Denmark",100,4/26/15 7:33
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 7:34
Bodelwyddan,Wales,United Kingdom,"Bodelwyddan, United Kingdom",9,4/26/15 7:34
Cour-sur-Loire,Centre,France,"Cour-sur-Loire, France",33,4/26/15 7:34
Hanover,Lower Saxony,Germany,"Hanover, Germany",0,4/26/15 7:34
Kampar,Perak,Malaysia,"Kampar, Malaysia",25,4/26/15 7:34
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:34
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:34
Shibuya,Tokyo,Japan,"Shibuya, Japan",0,4/26/15 7:34
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:34
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 7:35
Charlotte,North Carolina,United States,"Charlotte, United States",1,4/26/15 7:35
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:35
Olinda,New South Wales,Australia,"Olinda, Australia",8,4/26/15 7:35
Paris,isle-de-France,France,"Paris, France",0,4/26/15 7:35
Surat,Gujarat,India,"Surat, India",1,4/26/15 7:35
Baden bei Wien,Lower Austria,Austria,"Baden bei Wien, Austria",7,4/26/15 7:36
Saint Gallen,St. Gallen,Switzerland,"Saint Gallen, Switzerland",1,4/26/15 7:36
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:36
Walsall,England,United Kingdom,"Walsall, United Kingdom",3,4/26/15 7:36
Paldiski,Harju County,Estonia,"Paldiski, Estonia",100,4/26/15 7:37
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 7:37
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 7:37
Birmingham,England,United Kingdom,"Birmingham, United Kingdom",0,4/26/15 7:37
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 7:37
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:37
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:37
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:37
Northampton,England,United Kingdom,"Northampton, United Kingdom",1,4/26/15 7:37
Oak Harbor,Washington,United States,"Oak Harbor, United States",17,4/26/15 7:37
Sharjah,Sharjah,United Arab Emirates,"Sharjah, United Arab Emirates",1,4/26/15 7:37
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:37
Bangor,Maine,United States,"Bangor, United States",20,4/26/15 7:38
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:38
Metzingen,Baden-Wurttemberg,Germany,"Metzingen, Germany",10,4/26/15 7:38
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:38
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:38
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 7:39
Midrand,Gauteng,South Africa,"Midrand, South Africa",10,4/26/15 7:39
Montabaur,Rhineland-Palatinate,Germany,"Montabaur, Germany",4,4/26/15 7:39
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:39
Cookham,England,United Kingdom,"Cookham, United Kingdom",3,4/26/15 7:40
Kolkata,West Bengal,India,"Kolkata, India",1,4/26/15 7:40
Sant Cugat del Vallès,Catalonia,Spain,"Sant Cugat del Vallès, Spain",9,4/26/15 7:42
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 7:42
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:42
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/26/15 7:42
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 7:42
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 7:42
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 7:45
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 7:45
Fremont,California,United States,"Fremont, United States",4,4/26/15 7:45
Gurgaon,Haryana,India,"Gurgaon, India",1,4/26/15 7:45
Hayes,England,United Kingdom,"Hayes, United Kingdom",2,4/26/15 7:45
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 7:45
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:45
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:45
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/26/15 7:45
Vasai,Maharashtra,India,"Vasai, India",7,4/26/15 7:45
Cuxhaven,Lower Saxony,Germany,"Cuxhaven, Germany",33,4/26/15 7:47
Montgeron,isle-de-France,France,"Montgeron, France",9,4/26/15 7:47
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 7:47
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:47
Tucson,Arizona,United States,"Tucson, United States",1,4/26/15 7:47
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 7:48
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:48
Gillitts,KwaZulu-Natal,South Africa,"Gillitts, South Africa",50,4/26/15 7:48
Phnom Penh,Phnom Penh,Cambodia,"Phnom Penh, Cambodia",0,4/26/15 7:48
Worthing,England,United Kingdom,"Worthing, United Kingdom",3,4/26/15 7:48
Basel,Basel-Stadt,Switzerland,"Basel, Switzerland",1,4/26/15 7:50
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 7:50
Kottayam,Kerala,India,"Kottayam, India",3,4/26/15 7:50
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:50
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:50
New Orleans,Louisiana,United States,"New Orleans, United States",3,4/26/15 7:50
Stoke Mandeville,England,United Kingdom,"Stoke Mandeville, United Kingdom",100,4/26/15 7:50
Wednesbury,England,United Kingdom,"Wednesbury, United Kingdom",2,4/26/15 7:50
Christchurch,Canterbury,New Zealand,"Christchurch, New Zealand",0,4/26/15 7:51
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/26/15 7:51
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 7:51
Gwalior,Madhya Pradesh,India,"Gwalior, India",3,4/26/15 7:51
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 7:51
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/26/15 7:51
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 7:51
Pattaya,Chon Buri,Thailand,"Pattaya, Thailand",1,4/26/15 7:51
Winnipeg,Manitoba,Canada,"Winnipeg, Canada",2,4/26/15 7:51
Lucknow,Uttar Pradesh,India,"Lucknow, India",0,4/26/15 7:53
Luxemburg City,Luxembourg,Luxembourg,"Luxemburg City, Luxembourg",1,4/26/15 7:53
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 7:53
Muscat,Muscat,Oman,"Muscat, Oman",0,4/26/15 7:53
Patong,Phuket,Thailand,"Patong, Thailand",3,4/26/15 7:53
Plymouth,England,United Kingdom,"Plymouth, United Kingdom",1,4/26/15 7:53
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:53
Wythenshawe,England,United Kingdom,"Wythenshawe, United Kingdom",1,4/26/15 7:53
Charlton Kings,England,United Kingdom,"Charlton Kings, United Kingdom",33,4/26/15 7:54
Edinburgh,Scotland,United Kingdom,"Edinburgh, United Kingdom",0,4/26/15 7:54
Harare,Harare,Zimbabwe,"Harare, Zimbabwe",1,4/26/15 7:54
Misnster,North Rhine-Westphalia,Germany,"Misnster, Germany",1,4/26/15 7:54
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 7:54
Satna,Madhya Pradesh,India,"Satna, India",11,4/26/15 7:54
Trowbridge,England,United Kingdom,"Trowbridge, United Kingdom",20,4/26/15 7:54
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:55
Mannheim,Baden-Wurttemberg,Germany,"Mannheim, Germany",1,4/26/15 7:55
Marietta-Alderwood,Washington,United States,"Marietta-Alderwood, United States",3,4/26/15 7:55
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:55
Purau,Canterbury,New Zealand,"Purau, New Zealand",1,4/26/15 7:55
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:55
Ballarat,Victoria,Australia,"Ballarat, Australia",5,4/26/15 7:56
Barchfeld,Thuringia,Germany,"Barchfeld, Germany",100,4/26/15 7:56
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:56
Kyoto,Kyoto Prefecture,Japan,"Kyoto, Japan",0,4/26/15 7:56
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:56
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/26/15 7:56
Mandaluyong City,Metro Manila,Philippines,"Mandaluyong City, Philippines",3,4/26/15 7:56
Pokhara,Western Region,Nepal,"Pokhara, Nepal",2,4/26/15 7:56
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:56
West Hartford,Connecticut,United States,"West Hartford, United States",33,4/26/15 7:56
Yangon,Yangon Region,Myanma,"Yangon, Myanma",0,4/26/15 7:56
Zurich,Canton of Zurich,Switzerland,"Zurich, Switzerland",0,4/26/15 7:56
Redondela,Galicia,Spain,"Redondela, Spain",33,4/26/15 7:58
Basildon,England,United Kingdom,"Basildon, United Kingdom",1,4/26/15 7:58
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 7:58
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:58
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:58
New Okhla Industrial Development Area,Uttar Pradesh,India,"New Okhla Industrial Development Area, India",1,4/26/15 7:58
Warrington,England,United Kingdom,"Warrington, United Kingdom",2,4/26/15 7:58
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 7:59
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 7:59
Lorch,Baden-Wurttemberg,Germany,"Lorch, Germany",5,4/26/15 8:00
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 8:00
Oulu,Northern Ostrobothnia,Finland,"Oulu, Finland",1,4/26/15 8:00
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 8:00
Vlissingen,Zeeland,Netherlands,"Vlissingen, Netherlands",9,4/26/15 8:00
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/26/15 8:00
Abu Dhabi,Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",0,4/26/15 8:01
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/26/15 8:01
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 8:01
Omaha,Nebraska,United States,"Omaha, United States",2,4/26/15 8:01
Petaling Jaya,Selangor,Malaysia,"Petaling Jaya, Malaysia",1,4/26/15 8:01
Sheridan,Oregon,United States,"Sheridan, United States",0,4/26/15 8:01
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 8:03
Calgary,Alberta,Canada,"Calgary, Canada",0,4/26/15 8:03
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/26/15 8:03
Crawley,England,United Kingdom,"Crawley, United Kingdom",2,4/26/15 8:03
Derby,England,United Kingdom,"Derby, United Kingdom",2,4/26/15 8:03
Dusseldorf,North Rhine-Westphalia,Germany,"Dusseldorf, Germany",0,4/26/15 8:03
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/26/15 8:03
Lille,Nord-Pas-de-Calais,France,"Lille, France",0,4/26/15 8:03
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/26/15 8:03
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 8:03
Nancy,Lorraine,France,"Nancy, France",0,4/26/15 8:03
Woodley,England,United Kingdom,"Woodley, United Kingdom",4,4/26/15 8:03
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 8:05
Bremen,Bremen,Germany,"Bremen, Germany",0,4/26/15 8:05
Brunswick,Lower Saxony,Germany,"Brunswick, Germany",1,4/26/15 8:05
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 8:05
Warsaw,Masovian Voivodeship,Poland,"Warsaw, Poland",0,4/26/15 8:05
